"product href","product src","theme_green","theme_green 2","theme_green 3","card_body","P_price"
"https://www.kuhl.in/products/platin-d8","https://d81er1momxfye.cloudfront.net/assets/images/products/platin/platin-d8/platin-d8-brown-1.webp","Kühl PLATIN","D8","1200/1500 mm","Kühl Platin D8 has whopping 8 blades to give a cool, refreshing airflow to interior spaces. It brings a royal touch to your décor with its trend-setting and magnificent beauty.","₹14,909.00"
"https://www.kuhl.in/products/luxus-c5","https://d81er1momxfye.cloudfront.net/assets/images/products/luxus/luxus-c5/luxus-c5-brown-1.webp","Kühl LUXUS","C5","1200/1320 mm","Designed after combining style, technology, and design, Kühl LUXUS C5 has a night light & down light that makes your home more aesthetically pleasing.","₹14,909.00"
"https://www.kuhl.in/products/galaxis-g6","https://d81er1momxfye.cloudfront.net/assets/images/products/galaxis/galaxis-g6/galaxis-g6-white-1.webp","Kühl GALAXIS","G6","1400/1670 mm","The luxurious design of Kühl Galaxis G6 Stylish Fan defines ‘modern elegance in motion’ as it has 6 blades and an artistically inspired appearance.","₹11,129.00"
"https://www.kuhl.in/products/glanz-f3","https://d81er1momxfye.cloudfront.net/assets/images/products/glanz/glanz-f3/glanz-f3-brown-1.webp","Kühl GLANZ","F3","1320 mm","Elevate your living spaces with Kühl Glanz F3 that showcases a harmonious fusion of artistry and engineering.","₹7,454.00"
"https://www.kuhl.in/products/prima-a3","https://d81er1momxfye.cloudfront.net/assets/images/products/prima/prima-a3/prima-a3-brown-1.webp","Kühl PRIMA","A3","1200/900 mm","5-star rated Kühl PRIMA A3 is built with advanced BLDC technology and 28-watt motor that consumes up to 65% less power than regular induction fans.","₹2,799.00"
"https://www.kuhl.in/products/prima-a2","https://d81er1momxfye.cloudfront.net/assets/images/products/prima/prima-a2/prima-a2-brown-1.webp","Kühl PRIMA","A2","1200 mm","5-star rated Kühl PRIMA A2 has a BLDC motor that ensures low electricity consumption, lesser noise generation, and better lifespan.","₹2,499.00"
"https://www.kuhl.in/products/prima-a1","https://d81er1momxfye.cloudfront.net/assets/images/products/prima/prima-a1/prima-a1-brown-1.webp","Kühl PRIMA","A1","900/1200 mm","Kühl PRIMA A1 is the next-gen ceiling fan built with innovative BLDC technology, delivering high-speed performance & saving up to 65% electricity.","₹3,300.00"
"https://www.kuhl.in/products/prima-a","https://d81er1momxfye.cloudfront.net/assets/images/products/prima/prima-a/prima-a-brown-1.webp","Kühl PRIMA","A","1200 mm","5-Star rated Kühl PRIMA A Fan is just 28-watt and comes with a revolutionary and super energy-efficient BLDC motor technology to save up to 65% electricity.","₹2,399.00"
"https://www.kuhl.in/products/arctis-a1","https://d81er1momxfye.cloudfront.net/assets/images/products/arctis/arctis-a1/arctis-a1-espresso-1.webp","Kühl ARCTIS","A1","600/900/1200/1400 mm","5-star rated Kuhl ARCTIS A1 is built with advanced BLDC technology which is also energy efficient and consumes up to 65% less power than regular induction fans.","₹2,799.00"
"https://www.kuhl.in/products/arctis-a4","https://d81er1momxfye.cloudfront.net/assets/images/products/arctis/arctis-a4/arctis-a4-white-1.webp","Kühl ARCTIS","A4-DUO","1200 mm","The Kühl Arctis A4 is a BLDC fan that’s as smart as your home. Its next-gen BLDC motor delivers powerful and energy-efficient airflow helping you save up to 65% on electricity compared to ordinary fans.","₹2,899.00"
"https://www.kuhl.in/products/exzel-h1","https://d81er1momxfye.cloudfront.net/assets/images/products/pedestal/exzel-h1/exzel-h1-white-1.webp","Kühl EXZEL","H1","400 mm","Powered by a cutting-edge BLDC motor, this fan sports remarkable electricity savings, low noise operation, and fast cooling with high air flow.","₹6,999.00"
"https://www.kuhl.in/products/inspira-p1","https://d81er1momxfye.cloudfront.net/assets/images/products/pedestal/inspira-p1/inspira-p1-white-1.webp","Kühl INSPIRA","P1","400 mm","Style has never been defined in a better way than the Kuhl Inspira P1 Fans which not only enhances the style quotient but also makes it more awe-inspiring than ever.","₹4,399.00"
"https://www.kuhl.in/products/inspira-w1","https://d81er1momxfye.cloudfront.net/assets/images/products/pedestal/inspira-w1/inspira-w1-white-1.webp","Kühl INSPIRA","W1","400 mm","Style has never been defined in a better way than the Kuhl Inspira W1 Fans which not only enhances the style quotient but also makes it more awe-inspiring than ever.","₹4,099.00"
"https://www.kuhl.in/products/exzel-h2","https://d81er1momxfye.cloudfront.net/assets/images/products/pedestal/exzel-h2/exzel-h2-black-1.webp","Kühl EXZEL","H2","450 mm","Powered by a cutting-edge BLDC motor, this fan sports remarkable electricity savings, low noise operation, and fast cooling with high air flow.","₹6,999.00"
"https://www.kuhl.in/products/brise-plus-e3","https://d81er1momxfye.cloudfront.net/assets/images/products/brise/brise-plus-e3/brise-plus-e3-brown-1.webp","Kühl BRISE PLUS","E3","1320 mm","Being an absolute trendy, Kühl Brise Plus E3 Stylish Fan features a classy combination of stylish finish and new-age design that’s sure to take your home décor.","₹4,999.00"
"https://www.kuhl.in/products/brise-star-e5","https://d81er1momxfye.cloudfront.net/assets/images/products/brise/brise-star-e5/brise-star-e5-espresso-1.webp","Kühl BRISE STAR","E5","1320 mm","The stylish Kuhl Brise Star E5 is a perfect piece to elevate the ambiance of your home with its sophisticated design and exceptional airflow capabilities.","₹4,099.00"
"https://www.kuhl.in/products/windzz-k3","https://d81er1momxfye.cloudfront.net/assets/images/products/windzz/windzz-k3/windzz-k3-brown-1.webp","Kühl WINDZZ","K3","1320 mm","Experience the essence of next gen innovation with Kuhl Windzz K3 fan. The fan not only gives a modern feel but also is energy efficient and easy to control.","₹7,399.00"
"https://www.kuhl.in/products/juwel-j3","https://d81er1momxfye.cloudfront.net/assets/images/products/juwel/juwel-j3/juwel-j3-espresso-1.webp","Kühl JUWEL","J3","1200 mm","Keep your home décor, chic and stylish with our 5-star rated Kühl Juwel J3. Built with advanced BLDC technology, it consumes up to 65% less power than regular induction fans.","₹4,999.00"
"https://www.kuhl.in/products/exzel-h3","https://d81er1momxfye.cloudfront.net/assets/images/products/pedestal/exzel-h3/exzel-h3-black-1.webp","Kühl EXZEL","H3","400 mm","The next gen desert cooler Kuhl Exzel H3, is designed to keep your living space cool with high air flow and strong ultrasonic mist technology with no water droplets.","₹19,109.00"
"https://www.kuhl.in/products/arctis-a7","https://d81er1momxfye.cloudfront.net/assets/images/products/arctis/arctis-a7/arctis-a7-white-1.webp","Kühl ARCTIS","A7","1200 mm","The Kühl Arctis A7 BLDC Fan takes air performance to the next level combining powerful performance with energy‑smart innovation. It saves up to 65% electricity.","₹2,899.00"
"https://www.kuhl.in/products/inspira-t1","https://d81er1momxfye.cloudfront.net/assets/images/products/pedestal/inspira-t1/inspira-t1-white-1.webp","Kühl INSPIRA","T1","400 mm","Kuhl Inspira T1, a table fan which enhances the style quotient along with great energy efficiency. A classy combination of advanced features and aesthetic design that works on power.","₹3,999.00"
"https://www.kuhl.in/products/prima-a5","https://d81er1momxfye.cloudfront.net/assets/images/products/prima/prima-a5/prima-a5-white-1.webp","Kühl PRIMA","A5","1200 mm","Experience the perfect blend of powerful performance, efficiency and comfort with the Kühl Prima A5 BLDC Fan. With next-gen BLDC Technology, it delivers smooth and high airflow while consuming less energy up to 65% less than ordinary fans.","₹3,099.00"
"https://www.kuhl.in/products/prima-a6","https://d81er1momxfye.cloudfront.net/assets/images/products/prima/prima-a6/prima-a6-white-1.webp","Kühl PRIMA","A6","1200 mm","Keep your home’s décor chic and stylish without burning a hole in your pocket by using the 5-star rated Kühl PRIMA A6. Built with advanced BLDC technology","₹3,199.00"
"https://www.kuhl.in/products/prima-a7","https://d81er1momxfye.cloudfront.net/assets/images/products/prima/prima-a7/prima-a7-white-1.webp","Kühl PRIMA","A7","1200 mm","It also features unique built-in LED lights on the motor, providing a convenient indication of fan speed. You will also find a remote control","₹3,099.00"
"https://www.kuhl.in/products/twist-l3","https://d81er1momxfye.cloudfront.net/assets/images/products/twist/twist-l3/twist-l3-white-1.webp","Kühl TWIST","L3","1320 mm","Experience the essence of elegant style and innovation with Kühl Twist L3 Fans, a mesmerising creation inspired by the science of windmills.","₹9,799.00"
"https://www.kuhl.in/products/arctis-a8","https://d81er1momxfye.cloudfront.net/assets/images/products/arctis/arctis-a8/arctis-a8-white-1.webp","Kühl ARCTIS","A8","1200/600/900 mm","Kuhl Arctis fans, the fusion of style and functionality, introduces the Arctis A8 with a digital LED display to indicate the speed of your fan.","₹3,699.00"
"https://www.kuhl.in/products/ritzz-r3","https://d81er1momxfye.cloudfront.net/assets/images/products/ritzz/ritzz-r3/ritzz-r3-brown-1.webp","Kühl RITZZ","R3","1320 mm","Discover the perfect blend of elegance and saving with Kühl Ritzz Fans, designed to add sophistication to your home.","₹7,100.00"
"https://www.kuhl.in/products/inspira-p2","https://d81er1momxfye.cloudfront.net/assets/images/products/pedestal/inspira-p2/inspira-p2-white-1.webp","Kühl INSPIRA","P2","450 mm","Kuhl Inspira P2, a pedestal fan designed for your aesthetics and convenience. This 3 Aluminium blade 18” inch pedestal fan works only on 60 Watt power etc.","₹5,099.00"
"https://www.kuhl.in/products/meridian-m1","https://d81er1momxfye.cloudfront.net/assets/images/products/meridian/meridian-m1/meridian-m1-brown-1.webp","Kühl MERIDIAN","M1","1200 mm","Transform your living space with Kühl Meridian Series Fans—where advanced technology meets elegant design.","₹6,899.00"
"https://www.kuhl.in/products/hawaii","https://d81er1momxfye.cloudfront.net/assets/images/products/desk/hawaii/hawaii-white-1.webp","Kühl HAWAII","","165 mm","Experience the Perfect Blend of Power and Portability with Kühl Hawaii.","₹1,899.00"
"https://www.kuhl.in/products/meridian-m2","https://d81er1momxfye.cloudfront.net/assets/images/products/meridian/meridian-m2/meridian-m2-brown-1.webp","Kühl MERIDIAN","M2","1200 mm","Kühl Meridian M2, a seamless blend of modern technology and elegant design.","₹5,399.00"
"https://www.kuhl.in/products/fest-b1","https://d81er1momxfye.cloudfront.net/assets/images/products/fest/fest-b1/fest-b1-white-1.webp","Kühl FEST","B1","1200 mm","Kühl Fest Fan comes with revolutionary and super energy-efficient BLDC motor technology that saves electricity up to 65%. This Fan runs on just 28 W power at full speed and comes with Remote as well as Regulator.","₹2,649.00"
"https://www.kuhl.in/products/platin-star","https://d81er1momxfye.cloudfront.net/assets/images/products/platin/platin-star/platin-star-teak-1.webp","Kühl PLATIN STAR","","1550 mm","Kühl Platin Star has whopping 8 blades to give a cool, refreshing airflow to interior spaces. It brings a royal touch to your décor with its trend-setting and magnificent...","₹18,499.00"
"https://www.kuhl.in/products/luxus-plus","https://d81er1momxfye.cloudfront.net/assets/images/products/luxus/luxus-plus/luxus-plus-teak-1.webp","Kühl LUXUS PLUS","","1400 mm","Designed after combining style, technology, and design, Kühl LUXUS PLUS has a night light & down light that makes your home more aesthetically pleasing.","₹18,059.00"
"https://www.kuhl.in/products/meridian-m55","https://d81er1momxfye.cloudfront.net/assets/images/products/meridian/meridian-m55/meridian-m55-teak-1.webp","Kühl MERIDIAN","M55","1400 mm","Kühl Meridian M55, a seamless blend of modern technology and elegant design.","₹6,999.00"
"https://www.kuhl.in/products/galaxis-star-g6","https://d81er1momxfye.cloudfront.net/assets/images/products/galaxis/galaxis-star-g6/galaxis-star-g6-teak-1.webp","Kühl GALAXIS STAR","G6","1400 mm","The luxurious design of Kühl Galaxis Star G6 Stylish Fan defines ‘modern elegance in motion’ as it has 6 blades and an artistically inspired appearance.","₹15,854.00"
"https://www.kuhl.in/products/luxus-star","https://d81er1momxfye.cloudfront.net/assets/images/products/luxus/luxus-star/luxus-star-teak-1.webp","Kühl LUXUS STAR","","1400 mm","Designed after combining style, technology, and design, Kühl LUXUS  Star has a night light & down light that makes your home more aesthetically pleasing.","₹17,199.00"
"https://www.kuhl.in/products/luxus-twist","https://d81er1momxfye.cloudfront.net/assets/images/products/luxus/luxus-twist/luxus-twist-teak-1.webp","Kühl LUXUS TWIST","","1320 mm","Designed after combining style, technology, and design, Kühl LUXUS TWIST has a night light & down light that makes your home more aesthetically pleasing.","₹18,059.00"
